State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,06-08-2020,-12.6,-47.2,-55.4,-4.25,14.5,-20.8,-63.8,11.3,9.24
2500,06-08-2020,-12.9,-47.3,-47.6,-10.5,14.5,-37.6,-67.9,10.9,7.26
3400,06-08-2020,-7.99,-41.7,-37.4,-13.8,20.5,-27.9,-59.4,13.1,7.29
3600,06-08-2020,-8.92,-46,-52.3,-15.8,16.8,-33.6,-66.5,11.1,6.45
4400,06-08-2020,-9.33,-50.2,-65.9,-12.4,9.37,-20.6,-69.8,16.5,23.2
900,06-09-2020,-13,-47.5,-55.2,-2.2,14.4,-24.3,-62.6,12.5,11.2
2500,06-09-2020,-13,-46.7,-46.5,-10.7,14.4,-37.5,-68.8,11.2,7.81
3400,06-09-2020,-8.27,-42.1,-38.8,-12.4,21.4,-25,-60.4,14.1,8.37
3600,06-09-2020,-9.63,-45.6,-54.3,-14.8,17.1,-33.5,-66.2,11.6,7.12
4400,06-09-2020,-12.7,-47.4,-67.6,-9.59,7.79,-8.19,-66.6,14.9,21.5
900,06-10-2020,-13,-45.8,-54.4,-3.1,13.9,-25.5,-63.1,11.8,10.4
2500,06-10-2020,-11.9,-45.1,-45.6,-10.9,15.8,-33,-70.4,11.5,7.27
3400,06-10-2020,-6.61,-41.1,-36.2,-10.5,22.8,-18.6,-60.6,16.1,10.8
3600,06-10-2020,-9.11,-45.3,-55.7,-13.6,17.2,-29.5,-64.7,12.4,8.59
4400,06-10-2020,-11.3,-45.6,-63.2,-4.09,4.38,4.17,-59.3,15,24.9
900,06-11-2020,-12.1,-45.6,-55.8,-2.93,14,-22.7,-65.2,12.7,11.8
2500,06-11-2020,-10.5,-44.7,-43.2,-9.62,16.1,-29.4,-70.3,12.1,8.07
3400,06-11-2020,-6.78,-41.1,-37.5,-9.87,21.4,-15.9,-59.3,15.2,10.3
3600,06-11-2020,-8.34,-44,-55.1,-12.5,17.4,-26,-63.8,12.9,9.3
4400,06-11-2020,-12,-46.8,-53.3,1.59,5.14,16.5,-48.4,13.2,20.5
900,06-12-2020,-11.9,-44.9,-53.5,-3.22,13.5,-20.5,-64.1,12.4,11.6
2500,06-12-2020,-10.8,-43.5,-45.3,-6.92,14.3,-28.6,-70.8,11.8,9.16
3400,06-12-2020,-6.93,-41.4,-36.3,-10.4,21.6,-17.6,-59.9,15.4,10.5
3600,06-12-2020,-8.46,-43.5,-56.8,-11.9,16.3,-25.4,-62.6,13,10.4
4400,06-12-2020,-9.57,-43.9,-53.3,-0.436,5.77,28.9,-46.9,14.7,23
900,06/13/2020,-12,-44.4,-52.3,-4.86,12.6,-20.8,-62.2,11.6,10.9
2500,06/13/2020,-10.3,-41.5,-49,-4.53,15.5,-25.9,-70.5,12.7,9.96
3400,06/13/2020,-7.25,-41.3,-38.4,-11.5,21.3,-17.4,-59.7,14.9,9.84
3600,06/13/2020,-8.1,-43,-55.6,-10.5,15.1,-25.9,-61.1,12.7,10.8
4400,06/13/2020,-8.32,-40.7,-54.6,2.82,4.98,41.3,-40.7,13.8,22.2
900,06/14/2020,-11.8,-43.9,-50.4,-6.54,12.1,-18.4,-63.4,10.4,9.39
2500,06/14/2020,-10.2,-39.2,-48.9,-4.14,13.1,-23.9,-70.3,12.3,11.4
3400,06/14/2020,-8.2,-41.1,-39.9,-12.2,18.1,-18.9,-59.7,13.4,9.57
3600,06/14/2020,-8.52,-41.7,-56.8,-10.1,13,-26.2,-60.7,12.4,12
4400,06/14/2020,-6.84,-37.9,-50.1,-3.96,-0.256,53.6,-29,9.68,19.1
900,06/15/2020,-11.6,-43.4,-49.5,-5.12,11.5,-15,-64.5,11.1,10.7
2500,06/15/2020,-9.94,-38,-48.3,-1.37,10.6,-25.4,-69.6,11.6,12.6
3400,06/15/2020,-7.72,-39.7,-40.6,-11,16,-18.1,-60.4,13.5,11.5
3600,06/15/2020,-8.61,-40.9,-56,-10,10.6,-26.1,-59.4,11.7,12.6
4400,06/15/2020,-6.92,-35.2,-26.1,-1.88,-0.234,40.5,-41.3,9.08,17.9
900,06/16/2020,-10.7,-42.7,-49.2,-4.29,11.7,-12.7,-64.8,12,12.3
2500,06/16/2020,-8.69,-37.8,-46.4,1.51,12.7,-26.8,-62.3,14.4,15.9
3400,06/16/2020,-5.74,-38.7,-39.2,-7.83,16.5,-17.2,-57.4,15.9,15.4
3600,06/16/2020,-6.89,-40.6,-52.4,-9.13,12.4,-22.9,-58.6,13.5,14.5
4400,06/16/2020,-5.94,-36.6,-4.73,3.82,3.53,27.4,-51.8,10.2,16.1
900,06/17/2020,-10.5,-42.6,-48.7,-1.85,13,-14.3,-64.1,13.1,13.1
2500,06/17/2020,-8.53,-38.1,-49.8,3.47,13.8,-25.9,-60.1,15.6,17.3
3400,06/17/2020,-5,-37.8,-38.4,-5.5,17.5,-19.3,-56.2,17.2,17.1
3600,06/17/2020,-6.57,-39.6,-51.5,-8.19,14.1,-22.3,-58.9,14.4,14.8
4400,06/17/2020,-3.12,-39.5,-2.65,4.42,6.72,14.3,-64.5,13.7,20
900,06/18/2020,-9.86,-41.7,-44.4,0.577,15.7,-15.4,-64.8,15.8,15.8
2500,06/18/2020,-7.66,-35.8,-48.9,5.26,15.7,-25.5,-59.5,17.4,19
3400,06/18/2020,-3.02,-35.7,-38,-2.46,19.5,-16.9,-54.3,20.2,21
3600,06/18/2020,-5.17,-37.9,-50.9,-6.04,16,-23.9,-58.3,16.4,16.8
4400,06/18/2020,-2.42,-39,-5.05,3.07,5.41,1.24,-50.3,15.1,24.2
900,06/19/2020,-9.19,-40.5,-42.5,1.9,17.3,-20.6,-64.5,17.1,17
2500,06/19/2020,-5.07,-34.8,-44.1,5.58,18.9,-23.6,-60.6,20.6,22.2
3400,06/19/2020,-1.7,-33.1,-35.8,1.07,20,-14,-54,21.9,23.9
3600,06/19/2020,-3.48,-36.4,-48.5,-4.08,18.6,-21.9,-56.9,18.4,18.3
4400,06/19/2020,-1.07,-39,33.6,3.9,6.77,-11.9,-53.9,14.8,22.6
900,06/20/2020,-8.76,-39.8,-41.7,4.98,22,-19.9,-66.6,17.8,15
2500,06/20/2020,-4.16,-34.6,-38.8,7.29,21.9,-26.3,-61.4,24.6,27.2
3400,06/20/2020,0.375,-30.6,-32.6,6.19,23.2,-12.9,-53.5,26.4,29.5
3600,06/20/2020,-2.4,-35.2,-46.3,-2.56,23,-21.5,-56.9,21.2,19.7
4400,06/20/2020,0.466,-40.9,36,1.66,16.2,-25,-38.8,19.3,22.3
900,06/21/2020,-9.58,-39.5,-43.6,6.51,23.2,-21.7,-66.8,19.2,16.5
2500,06/21/2020,-3.98,-33.6,-40.4,6.89,23,-27.5,-63.1,25,27
3400,06/21/2020,2.08,-27.2,-31.3,8.99,25.8,-11.4,-52.7,28.4,31.1
3600,06/21/2020,-2.2,-34,-44.8,-1.82,24.7,-21.4,-57.6,21.3,18.5
4400,06/21/2020,1.2,-43.6,48.1,4.66,21.4,-38,-55.8,24,26.7
900,06/22/2020,-9.08,-38.5,-38.4,6.2,23.4,-23.4,-68.6,19.5,17
2500,06/22/2020,-3.35,-32.9,-39.6,7.25,25.1,-10.8,-64.3,26.4,27.6
3400,06/22/2020,2.67,-26.6,-28.3,12.5,26.5,-12.2,-53.2,30,33.4
3600,06/22/2020,-1.61,-33.5,-45,0.0254,26.4,-20.1,-57.6,22.6,19.5
4400,06/22/2020,1.08,-45.9,20.7,8.59,20.9,-32,-53.8,24.6,28.5
900,06/23/2020,-9.85,-38.4,-38.9,4.75,24,-20.7,-68.6,19.1,15.9
2500,06/23/2020,-3.54,-32.1,-39.5,8.28,24.3,-11.9,-69.7,25.9,27.4
3400,06/23/2020,1.87,-25.5,-27.2,13,26.3,-11.6,-54.6,28.8,31.4
3600,06/23/2020,-2.36,-32.2,-47.2,0.388,24.9,-20,-58.2,21.8,19.3
4400,06/23/2020,0.389,-46.3,2.19,5.62,22.4,-25.9,-30.1,26.3,30.2
900,06/24/2020,-10.2,-38.8,-38.1,4.24,22.1,-19.3,-69.4,17.5,14.4
2500,06/24/2020,-2.51,-31.5,-36.3,8.94,21.9,-10.9,-68.7,24.3,26.6
3400,06/24/2020,1.56,-26,-27.5,12.8,24.3,-8.73,-54,27.4,30.5
3600,06/24/2020,-3.02,-32.6,-49.8,1.28,22.5,-16.9,-58.9,20.8,19.3
4400,06/24/2020,-1.76,-44.6,-6.16,2.82,18.7,-19.8,-28.4,26.3,35
900,06/25/2020,-12.1,-38.8,-41.7,0.129,17.4,-22.2,-69.1,13,10.1
2500,06/25/2020,-4.67,-32.8,-35.3,5.7,18.6,-8.11,-69.6,20.3,21.8
3400,06/25/2020,0.395,-26.8,-25.2,11.7,21.6,-10.5,-57.1,25,28.3
3600,06/25/2020,-5,-33.6,-48.4,-0.917,19.3,-16.8,-59.3,17.7,16.4
4400,06/25/2020,-3.84,-44.6,-21.5,1.52,17.5,-13.7,-25.1,23.6,30.4
900,06/26/2020,-13.2,-39.3,-44.3,-2.46,14.4,-20.3,-70.7,9.83,6.9
2500,06/26/2020,-5.74,-31.9,-34.2,6.19,15.5,-9.77,-71,18,20.4
3400,06/26/2020,-0.57,-26.2,-28,10.6,19.6,-10.9,-57.6,23.1,26.4
3600,06/26/2020,-7.26,-34.5,-48,-1.57,15.1,-16.1,-60.7,14.8,14.5
4400,06/26/2020,-17.2,-42.3,-46.5,-9.6,17,-7.62,-13.8,15.4,13.4
900,06/27/2020,-13.9,-40.2,-41.7,-3.46,7.99,-17.2,-69.9,7.61,7.4
2500,06/27/2020,-6.44,-31,-32.6,5.74,10.7,-4.95,-69.6,13.7,16.4
3400,06/27/2020,-2.15,-26.9,-29.9,9.91,14.4,-12.2,-56.9,19.2,23.6
3600,06/27/2020,-8.55,-34.2,-49.8,-1.72,9.34,-15,-60.2,10.8,12.1
4400,06/27/2020,-16.5,-41.5,-45.2,-6.57,8.57,-1.53,-30,11.3,13.8
900,06/28/2020,-13.6,-40.8,-39.1,-4.77,7.7,-14.7,-70.6,7.23,6.96
2500,06/28/2020,-7.15,-32.4,-33.6,7.67,8.65,-8.83,-67.9,12.1,15.3
3400,06/28/2020,-3.24,-28.5,-31.4,10.5,13,-12.8,-56.5,18.9,24.5
3600,06/28/2020,-8.87,-34.4,-50.6,-1.02,7.51,-15.3,-60.3,10.2,12.4
4400,06/28/2020,-20.2,-42.6,-49.7,-8.33,1.13,4.56,-33.4,5.24,9.11
900,06/29/2020,-13.1,-41.7,-42.5,-5.28,8.42,-15.6,-68.7,6.32,4.95
2500,06/29/2020,-7.41,-33,-34.1,5.18,8.18,-21.9,-68,10.9,13.5
3400,06/29/2020,-3.39,-28.6,-31.7,8.69,13.3,-11.7,-54.3,18,22.5
3600,06/29/2020,-8.48,-33.9,-48.4,-1.17,7.76,-15.6,-60.8,10.3,12.5
4400,06/29/2020,-18.6,-38.3,-53.8,-15.1,2.13,2.33,-20,5.81,9.05
900,06/30/2020,-12.1,-42.6,-42.4,-5.14,8.73,-16.5,-70.1,6.54,5.09
2500,06/30/2020,-6.7,-32.9,-32.5,3.89,7.96,-15.5,-68.8,10.2,12.4
3400,06/30/2020,-2.38,-29.3,-30.9,9.05,13.6,-12.7,-55.8,18.8,23.7
3600,06/30/2020,-7.33,-34.5,-47.9,-0.285,9.22,-14.1,-60.9,10.9,12.2
4400,06/30/2020,-12.3,-38.7,-49.8,-11.5,0.457,0.103,-34.3,8.34,15.7
900,07-01-2020,-11,-42.5,-44.3,-6.11,9.53,-9.45,-68.1,7.39,5.95
2500,07-01-2020,-7.52,-33,-35,4.93,8.04,-13,-68.1,10.7,13.4
3400,07-01-2020,-3.03,-30,-39.8,8.55,13.2,-12.9,-55.1,18.3,23.1
3600,07-01-2020,-6.86,-34.6,-50.3,-1.05,10.1,-16.1,-59.1,11,11.7
4400,07-01-2020,-11.5,-39,-49.5,-13.7,3.15,-2.12,-27.5,5.97,8.67
900,07-02-2020,-9.35,-42.3,-43.5,-5.35,11.5,-7.22,-64.3,9.13,7.44
2500,07-02-2020,-5.08,-31.3,-34.7,8.21,9.73,-7.93,-66.4,13.7,17.9
3400,07-02-2020,-2.62,-29.8,-40.6,8.2,13.9,-11.8,-54.6,18.5,22.9
3600,07-02-2020,-5.37,-33.8,-50.9,0.347,11.3,-13.6,-58.2,12.2,13
4400,07-02-2020,-8.04,-38.5,-49.6,-10.9,0.331,-4.35,-32,6.06,11.6
900,07-03-2020,-9.61,-42.9,-42.6,-5.3,9.57,-12.1,-63,8.85,8.21
2500,07-03-2020,-6.79,-33.6,-34.9,7.27,6.17,-8.56,-62.2,10.2,14.8
3400,07-03-2020,-3.7,-32.4,-40.5,7.18,12,-16.1,-53.2,17.5,23
3600,07-03-2020,-5.77,-34.8,-52.4,-0.721,10.9,-17,-58.2,11.9,12.8
4400,07-03-2020,0.192,-42.9,-62.3,-8.2,-6.95,-6.58,-20.8,5.89,18.9
900,07-04-2020,-7.1,-43.5,-46.9,-8.75,8.9,5.79,-63.8,7.1,5.69
2500,07-04-2020,-4.1,-34.1,-37.7,5.24,5.44,5.64,-65.1,10.1,15.4
3400,07-04-2020,-1.96,-32.5,-41.7,5,9.21,2.12,-56,14.2,19.2
3600,07-04-2020,-4.03,-36.7,-51,-1.23,7.24,1.4,-58.4,9.73,12
4400,07-04-2020,-5.06,-39.3,-69.2,-12.3,-3.91,-8.8,-12.7,4.94,13.6
900,07-05-2020,-7.09,-41.7,-43.6,-6.61,8.98,-0.138,-60.9,6.69,5.06
2500,07-05-2020,-2.95,-31.6,-33.1,7.88,9.22,7.13,-64.6,12.9,17.1
3400,07-05-2020,-2.16,-31.3,-40.2,5.35,10.7,-5.61,-55.7,15.5,20.3
3600,07-05-2020,-3.83,-34.9,-51.1,-1.03,9.18,-3.58,-57.8,11.2,13
4400,07-05-2020,-1.01,-38.2,-64.2,-11.1,-1.19,-11,-8.44,7.21,15.8
900,07-06-2020,-6.91,-41.1,-41,-3.36,14.3,-1.24,-64.1,12,10.3
2500,07-06-2020,-2.12,-30,-30.4,11.3,11.3,-3.49,-62.4,16.1,21.4
3400,07-06-2020,-1.46,-31,-40.2,8.73,13.5,-8.28,-56.3,19.2,24.6
3600,07-06-2020,-3.77,-33.9,-51,0.29,13,-6.89,-57.8,13.5,13.9
4400,07-06-2020,-2.35,-40,-68,-4.86,-5.59,-4.57,-31.4,5.66,16.8
900,07-07-2020,-6.66,-39.4,-38.2,-3.01,13.8,-2.3,-62.9,11.8,10.3
2500,07-07-2020,-2.57,-28.6,-32.1,12.9,11.6,-5.9,-61.8,16.7,22.3
3400,07-07-2020,-2.11,-30.5,-40.7,8.51,13,-6.96,-55.2,18.5,23.9
3600,07-07-2020,-4.21,-33.3,-51.7,0.968,13.3,-7.82,-56.8,14.5,15.6
4400,07-07-2020,-6.15,-40.1,-41.5,-8.07,-2.63,1.89,-27.6,4.58,11.6
900,07-08-2020,-7.31,-39.4,-35.6,-3.56,12.6,-10.6,-65.2,10.7,9.33
2500,07-08-2020,-3.01,-28.2,-29.4,13.1,11.7,-11,-64.3,16.7,22.1
3400,07-08-2020,-2.3,-29.1,-32.5,8.22,12.4,-6.77,-56,17.9,23.3
3600,07-08-2020,-4.79,-33,-47.1,1.2,12.9,-9.02,-59.9,14.4,15.7
4400,07-08-2020,-6.26,-36.1,-31,-2.86,-3.96,8.35,-30.9,4.49,12.8
900,07-09-2020,-7.25,-38.4,-36.5,-2.57,13.5,-9.44,-69.2,11.2,9.66
2500,07-09-2020,-4.21,-29.1,-31.7,13,10.5,-17,-63.2,15.6,21
3400,07-09-2020,-2.76,-28.4,-29,8.95,10.8,-6.15,-55.7,16.9,22.8
3600,07-09-2020,-5.22,-32.9,-46.9,0.451,12.2,-6.42,-61.9,13.7,15.1
4400,07-09-2020,-8.82,-35.9,-24.4,-1.65,-3.44,14.8,-40.6,3.8,10.8
900,07-10-2020,-6.74,-38.8,-40.1,-0.827,14.7,-7.02,-68.5,12.4,11
2500,07-10-2020,-4.84,-29.4,-33.8,14,10.9,-14.5,-62.1,15.8,21
3400,07-10-2020,-4.07,-30.1,-29.6,8,7.22,-7.12,-54.2,14.2,21
3600,07-10-2020,-5.43,-31.9,-48.3,0.165,12.2,-8.69,-63.1,12.6,13
4400,07-10-2020,0.535,-36.7,-6.32,7.31,-2.99,21.3,-54,5.93,14.6
900,07-11-2020,-6.16,-37.5,-44.3,0.336,17.4,-9.96,-68.9,15.3,13.9
2500,07-11-2020,-4.25,-29,-35.8,13.6,12.6,-18.9,-63.7,18,23.7
3400,07-11-2020,-3.55,-29.8,-29.5,10.1,8.91,-8.02,-56.5,16.2,23.3
3600,07-11-2020,-5.32,-31,-49.2,1.7,12.8,-12.2,-64.1,13.8,14.6
4400,07-11-2020,-0.985,-37.9,-2.67,7.35,-0.448,27.7,-55,6.88,13.8
900,07-12-2020,-4.94,-36.3,-45.2,2.36,17.7,-13.2,-68.5,16.4,15.5
2500,07-12-2020,-3.5,-27.1,-31.4,12.7,14.2,-19.6,-65.5,19.8,25.7
3400,07-12-2020,-3.56,-28.8,-28.1,10.1,8.03,-10.3,-57.6,15.8,23.3
3600,07-12-2020,-4.73,-29.8,-49.9,2.69,13.8,-13.5,-64.5,15.2,16.3
4400,07-12-2020,1.63,-33.5,5.45,6.08,2.69,34.2,-64.2,7.8,12.6
900,07/13/2020,-5.52,-36.9,-47.8,2.06,15.4,-14.1,-68.8,15.5,15.5
2500,07/13/2020,-5.05,-28.1,-31.2,14.2,11.9,-17,-66.3,18.8,26.2
3400,07/13/2020,-3.51,-29.1,-29.2,10.8,7.69,-10.7,-58.1,15.4,23
3600,07/13/2020,-5.21,-29.9,-50.1,4.03,13.1,-15.3,-64.7,14.7,16.1
4400,07/13/2020,3.12,-32.5,24.9,10,10.6,28.5,-62.2,14,17.5
900,07/14/2020,-5.06,-36.5,-51,0.68,14.8,-10.1,-71.2,14.8,14.8
2500,07/14/2020,-4.66,-28.3,-31.1,13.6,12.2,-15.5,-67.3,18.4,25.1
3400,07/14/2020,-3.35,-29,-29.6,9.42,7.57,-11.6,-60.2,15.1,22.4
3600,07/14/2020,-5.62,-29.6,-50,3.01,12.3,-15.3,-66.9,13.6,14.8
4400,07/14/2020,0.814,-32.1,-3,6.11,5.54,22.8,-67.6,9.85,14.5
900,07/15/2020,-3.75,-35.3,-49.7,3.99,17.2,-11.6,-70,17.1,16.9
2500,07/15/2020,-2.94,-27.6,-30,12.9,13.5,-10.6,-67.6,18.5,23.9
3400,07/15/2020,-2.25,-29.1,-30.3,9.04,8.38,-12.1,-60.8,15.7,22.8
3600,07/15/2020,-5.36,-29.5,-49.5,3.88,12,-15.1,-66.5,13.7,15.1
4400,07/15/2020,1.11,-32.6,-15.8,-4.3,9,17.1,-63.1,8.6,8.92
900,07/16/2020,-4.01,-35.4,-46.8,3.59,17.1,-10.2,-69.9,15.9,15.1
2500,07/16/2020,-2.75,-26.5,-28.7,13.7,14.5,-5.44,-69.8,19.1,24
3400,07/16/2020,-1.79,-29.1,-32.3,8.62,8.32,-12.1,-61.1,16,23.6
3600,07/16/2020,-4.88,-29.1,-49.5,4.38,12.2,-17.1,-65.5,13.9,15.3
4400,07/16/2020,-0.0781,-31.6,-22.5,-3.38,17.9,11.5,-60.8,14.1,11.3
900,07/17/2020,-3.74,-34.1,-38,2.89,18.5,-9.94,-69.7,16.9,15.7
2500,07/17/2020,-1.48,-24.3,-26.3,13.7,17.1,-4.18,-69.9,20.4,23.9
3400,07/17/2020,-0.352,-27.3,-32.7,10.5,12,-10.4,-62.3,19.4,26.5
3600,07/17/2020,-3.75,-28.4,-49.9,5.85,13.4,-17.9,-65.2,16.3,18.8
4400,07/17/2020,-0.148,-29.5,-29.3,-6.59,21,5.78,-58.6,17.1,14.6
900,07/18/2020,-4.35,-33.9,-34.8,1.92,19,-10.6,-68.9,15.5,13.1
2500,07/18/2020,-1.86,-23.4,-25.2,11.2,17.1,-6.06,-71,18.6,20.2
3400,07/18/2020,-1.2,-26.6,-32.8,7.13,11.3,-10.3,-60.7,16.9,22.3
3600,07/18/2020,-4.44,-28.3,-49.4,3.83,12.8,-14.7,-65.2,14.9,16.7
4400,07/18/2020,-1.33,-25.6,-34.4,-8.76,22.2,0.106,-58.2,16.2,11.9
900,07/19/2020,-5.04,-32.7,-33.5,1.84,19.8,-9.4,-68.5,14.9,11.7
2500,07/19/2020,-1.98,-22.6,-26.3,11.9,17.8,-6.36,-71.2,17.9,18
3400,07/19/2020,-1.1,-26.3,-33.6,6.66,11.8,-9.67,-60,16.3,20.8
3600,07/19/2020,-4.71,-28.6,-48.2,3.79,12.5,-12.1,-64.2,14.3,15.9
4400,07/19/2020,-0.93,-25,-46.1,-9.7,25.4,-5.57,-50,16.8,10.3
900,07/20/2020,-4.64,-31.9,-29.7,2.08,19.3,-6.99,-68.5,14.8,11.8
2500,07/20/2020,-1.18,-21,-32.3,11.2,19.4,-7.64,-71.5,18.6,17.6
3400,07/20/2020,-1.22,-26.4,-33.2,6.28,11.3,-7.17,-58.8,15.9,20.3
3600,07/20/2020,-4.7,-28.5,-48.3,4.18,12.7,-11.5,-64.2,14.9,16.8
4400,07/20/2020,-1.85,-25.3,-47.4,-7.63,22.2,17,-46.4,14.3,8.04
900,07/21/2020,-4.99,-31.4,-28.1,2.64,21.9,-11.5,-64.5,15.8,11.7
2500,07/21/2020,-1.38,-20.9,-31.1,12.8,20.3,-8.01,-72.6,20.2,20
3400,07/21/2020,-1.78,-25.9,-32.9,6.85,11.5,-6.5,-58.4,15.9,20.2
3600,07/21/2020,-4.75,-28,-48.2,5.52,13.1,-10.8,-64.1,15.6,17.7
4400,07/21/2020,-1.8,-22.9,-57.2,-5.23,26.7,39.5,-41.5,17.5,9.89
900,07/22/2020,-5.01,-31.5,-25.2,4.13,21.5,-5.53,-64.1,16.1,12.5
2500,07/22/2020,-1.46,-20.3,-31.6,14.5,19.5,-2.55,-72.7,20.6,21.8
3400,07/22/2020,-2.27,-26.7,-30.9,8.44,11.8,-1.61,-58.6,16.8,21.6
3600,07/22/2020,-4.37,-27.8,-49.1,6.12,13.3,-8.96,-63.3,15.7,17.7
4400,07/22/2020,-1.19,-24.2,-34.3,1.94,22.9,62.1,-47.9,17,12.3
900,07/23/2020,-4.9,-31.6,-27.5,4.75,21.3,-4.48,-65.2,17.2,14.4
2500,07/23/2020,-0.832,-20.5,-33.1,14,20.2,-1.47,-73.1,21.4,22.7
3400,07/23/2020,-2.12,-26.9,-28.9,9.06,13,-0.951,-59,17.1,21.1
3600,07/23/2020,-4.66,-28.1,-53.9,6.97,13.8,-8.94,-63.3,16.2,18.3
4400,07/23/2020,-2.85,-22,-39.8,-6.19,17.1,84.6,-64.2,10.9,5.5
900,07/24/2020,-4.61,-31.1,-31.5,6.61,20.9,-0.989,-66.2,17.4,15
2500,07/24/2020,-0.487,-21.4,-29.5,15.8,18.4,0.335,-70.2,20.8,23.5
3400,07/24/2020,-2,-26.8,-26.5,9.12,12.8,-1.91,-58.4,17.1,21.3
3600,07/24/2020,-4.79,-28,-51.9,6.5,13.7,-7.43,-63.7,16,18
4400,07/24/2020,-1.22,-24,-43.4,1.14,15.5,107,-53.8,11.5,8.03
900,07/25/2020,-4.43,-30.2,-34.5,6.92,21.1,-2.45,-67.5,17.7,15.3
2500,07/25/2020,0.144,-21.2,-30.9,18.2,18.8,5.1,-67.8,21.6,24.8
3400,07/25/2020,-2.06,-26.7,-26.6,9.82,12.3,-2.77,-59.1,17.1,21.7
3600,07/25/2020,-4.32,-28.6,-52.9,7.59,14.2,-7.37,-63.6,16.7,18.9
4400,07/25/2020,-3.73,-34,-47.9,-0.967,11.7,130,-62.4,10.9,10.6
900,07/26/2020,-4.38,-31.3,-37.4,7.17,20.9,-3.2,-67.5,18.2,16.3
2500,07/26/2020,0.98,-21.5,-28.7,19.8,20.5,9.6,-68.3,24.7,29.4
3400,07/26/2020,-1.84,-27,-27.3,11.2,12.9,-5.27,-59.4,18.2,23.3
3600,07/26/2020,-4.15,-28.4,-51.9,8.42,14.3,-10.3,-64.5,17.2,19.7
4400,07/26/2020,-5.87,-36.6,-36.9,-0.522,6.73,152,-65.2,7.13,7.65
900,07/27/2020,-3.78,-30.8,-39.8,8.63,21.4,2.45,-65.8,19.1,17.4
2500,07/27/2020,0.911,-22.1,-26.8,21.5,21.7,12.5,-69.7,25.4,29.5
3400,07/27/2020,-2.23,-26.4,-26.8,10.8,13.2,-7.36,-59.9,17.9,22.5
3600,07/27/2020,-4.07,-28.1,-53.1,7.64,14,-9.46,-64.2,17.1,19.7
4400,07/27/2020,-9.05,-38,-36.3,-7.11,4.65,127,-61.6,4.27,4
900,07/28/2020,-4.17,-31.2,-41.5,9.62,19.4,2.29,-69.1,19.1,18.8
2500,07/28/2020,0.71,-21.3,-31,18.2,21.4,10.2,-68.4,24.1,27.2
3400,07/28/2020,-2.47,-27,-29,10.4,12.8,-7.52,-60.1,17.5,22.1
3600,07/28/2020,-4.14,-28.6,-54,6.94,13.9,-10.4,-64.1,16.5,18.9
4400,07/28/2020,-10.8,-35.9,-40.9,-9.58,4.84,101,-69.1,1.28,-2.31
900,07/29/2020,-4.87,-31.1,-43.1,7.3,19.4,-1.38,-70.9,19.2,19.1
2500,07/29/2020,0.476,-21.4,-29.2,16.3,22,3.17,-68.3,23.4,25.1
3400,07/29/2020,-2.66,-26.5,-29,9.18,11.9,-10.8,-59.9,16.1,20.2
3600,07/29/2020,-4.12,-28.3,-54,5.91,13.7,-9.84,-64.6,16.6,19.2
4400,07/29/2020,-11.7,-37.3,-56.1,-9.84,6.25,75.9,-70.6,3.77,1.36
900,07/30/2020,-4.95,-30.9,-43.5,8.62,19.2,-1.24,-68.2,19.4,19.5
2500,07/30/2020,0.318,-20.6,-28.4,16.3,21.8,-0.454,-68.6,22.9,24
3400,07/30/2020,-3.68,-26.1,-28.9,7.96,11,-12,-58.9,15.3,19.5
3600,07/30/2020,-4.36,-28.1,-49.5,5.08,12.8,-7.69,-64.2,16.2,19.2
4400,07/30/2020,-7.92,-37.3,-49.9,-3.85,6.75,50.5,-56.7,3.43,0.378
900,07/31/2020,-4.5,-30.2,-45,7.75,19.1,-5.91,-66.7,19.6,20
2500,07/31/2020,-0.327,-20,-31.4,13.3,22.4,-3.97,-71.7,22.6,22.9
3400,07/31/2020,-3.61,-26.1,-26.9,8.37,11.6,-10.3,-59.6,15.6,19.4
3600,07/31/2020,-3.7,-27.4,-49.5,6.09,13.3,-6.11,-63.7,16.2,18.8
4400,07/31/2020,-9.64,-36.7,-55.6,-10.9,4.27,25,-53.4,1.79,-0.36
900,08-01-2020,-5.26,-29.9,-42.9,6.23,17.6,-5.17,-65.3,18.3,18.8
2500,08-01-2020,-1.75,-20.7,-33.2,12.6,21.2,-6.32,-71.3,21.5,21.9
3400,08-01-2020,-5.08,-25,-36.6,6.88,10.7,-10.6,-59.8,14.2,17.8
3600,08-01-2020,-4.88,-26.1,-53,5.67,13,-8.88,-62.2,15.7,18.1
4400,08-01-2020,-6.52,-26.3,-52.6,-10.9,6.01,-0.41,-47.4,-0.256,-6.07
900,08-02-2020,-5.95,-29.8,-44.3,5.5,16.9,-3.53,-62.9,17.7,18.3
2500,08-02-2020,-2.5,-22,-34.3,12.2,21.1,-8.01,-70.3,20.6,20.1
